hu_ngram,n,en_word,en_pron,cost,count
tlen,1,plan,p l æ n,1.82,9
dorl,1,dogs',d ɔ g z,1.82,8
gton,1,clean,k l i n,1.82,8
megyé,1,meant,m ɛ n t,1.82,8
phil,1,still,s t ɪ l,1.82,8
poszt,1,point,p ɔɪ n t,1.82,8
ének,1,snake,s n eɪ k,1.82,8
aik,1,click,k l ɪ k,1.82,7
bosszú,1,balls,b ɔ l z,1.82,7
ford,1,find,f aɪ n d,1.82,7
geszt,1,left,l ɛ f t,1.82,7
korá,1,called,k ɔ l d,1.82,7
prot,1,plot,p l ɑ t,1.82,7
ront,1,don't,d oʊ n t,1.82,7
spir,1,spin,s p ɪ n,1.82,7
trol,1,small,s m ɔ l,1.82,7
venc,1,went,w ɛ n t,1.82,7
atom,1,steam,s t i m,1.82,6
bren,1,blown,b l oʊ n,1.82,6
gres,1,flesh,f l ɛ ʃ,1.82,6
kron,1,clean,k l i n,1.82,6
pest,1,left,l ɛ f t,1.82,6
port,1,point,p ɔɪ n t,1.82,6
ster,1,step,s t ɛ p,1.82,6
zené,1,went,w ɛ n t,1.82,6
álom,1,claim,k l eɪ m,1.82,6
berg,1,belt,b ɛ l t,1.82,5
buda,1,books,b ʊ k s,1.82,5
ches,1,flesh,f l ɛ ʃ,1.82,5
fekv,1,sex,s ɛ k s,1.82,5
fogly,1,fault,f ɔ l t,1.82,5
form,1,fault,f ɔ l t,1.82,5
mellé,1,meant,m ɛ n t,1.82,5
nemz,1,tells,t ɛ l z,1.82,5
pres,1,flesh,f l ɛ ʃ,1.82,5
ölel,1,smell,s m ɛ l,1.82,5
üres,1,flesh,f l ɛ ʃ,1.82,5
bors,1,balls,b ɔ l z,1.82,4
burg,1,books,b ʊ k s,1.82,4
flor,1,flight,f l aɪ t,1.82,4
frek,1,flesh,f l ɛ ʃ,1.82,4
kevé,1,kent,k ɛ n t,1.82,4
krum,1,claim,k l eɪ m,1.82,4
lepl,1,left,l ɛ f t,1.82,4
reszt,1,left,l ɛ f t,1.82,4
szerű,1,self,s ɛ l f,1.82,4
becsl,1,belt,b ɛ l t,1.82,3
bogyó,1,balls,b ɔ l z,1.82,3
bokr,1,books,b ʊ k s,1.82,3
dokl,1,dogs',d ɔ g z,1.82,3
fené,1,find,f aɪ n d,1.82,3
kora,1,called,k ɔ l d,1.82,3
kson,1,clean,k l i n,1.82,3
mosd,1,called,k ɔ l d,1.82,3
pton,1,plan,p l æ n,1.82,3
rick,1,think,θ ɪ ŋ k,1.82,3
rost,1,fault,f ɔ l t,1.82,3
shep,1,step,s t ɛ p,1.82,3
spec,1,spell,s p ɛ l,1.82,3
spek,1,speak,s p i k,1.82,3
ters,1,tells,t ɛ l z,1.82,3
tmik,1,smith,s m ɪ θ,1.82,3
tonná,1,talks,t ɔ k s,1.82,3
tork,1,talks,t ɔ k s,1.82,3
torny,1,talks,t ɔ k s,1.82,3
éjjel,1,smell,s m ɛ l,1.82,3
érem,1,stem,s t ɛ m,1.82,3
ével,1,smell,s m ɛ l,1.82,3
ível,1,smell,s m ɛ l,1.82,3
berk,1,bank,b æ ŋ k,1.82,2
bern,1,belt,b ɛ l t,1.82,2
boml,1,balls,b ɔ l z,1.82,2
ború,1,balls,b ɔ l z,1.82,2
brid,1,blood,b l ʌ d,1.82,2
brot,1,blog,b l ɔ g,1.82,2
brow,1,blog,b l ɔ g,1.82,2
burn,1,books,b ʊ k s,1.82,2
buzg,1,books,b ʊ k s,1.82,2
chil,1,still,s t ɪ l,1.82,2
chip,1,slip,s l ɪ p,1.82,2
cika,1,six,s ɪ k s,1.82,2
club,1,club,k l ʌ b,1.82,2
csikó,1,six,s ɪ k s,1.82,2
csukl,1,looks,l ʊ k s,1.82,2
cukr,1,looks,l ʊ k s,1.82,2
ders,1,dealt,d ɛ l t,1.82,2
dler,1,flesh,f l ɛ ʃ,1.82,2
dnok,1,snake,s n eɪ k,1.82,2
dobá,1,dogs',d ɔ g z,1.82,2
dola,1,called,k ɔ l d,1.82,2
dong,1,dogs',d ɔ g z,1.82,2
dora,1,dogs',d ɔ g z,1.82,2
dorf,1,dogs',d ɔ g z,1.82,2
fenyő,1,felt,f ɛ l t,1.82,2
flow,1,flight,f l aɪ t,1.82,2
friz,1,flip,f l ɪ p,1.82,2
gina,1,hint,h ɪ n t,1.82,2
gita,1,hits,h ɪ t s,1.82,2
glob,1,club,k l ʌ b,1.82,2
glom,1,claim,k l eɪ m,1.82,2
gvin,1,skin,s k ɪ n,1.82,2
gyomr,1,jump,dʒ ʌ m p,1.82,2
gyula,1,pulled,p ʊ l d,1.82,2
gyulá,1,pulled,p ʊ l d,1.82,2
hnik,1,click,k l ɪ k,1.82,2
hter,1,step,s t ɛ p,1.82,2
kenya,1,kent,k ɛ n t,1.82,2
korm,1,called,k ɔ l d,1.82,2
kottá,1,called,k ɔ l d,1.82,2
kred,1,cloud,k l aʊ d,1.82,2
ktus,1,stood,s t ʊ d,1.82,2
káosz,1,class,k l æ s,1.82,2
mega,1,meant,m ɛ n t,1.82,2
meló,1,self,s ɛ l f,1.82,2
mers,1,meant,m ɛ n t,1.82,2
metsz,1,meant,m ɛ n t,1.82,2
mons,1,mind,m aɪ n d,1.82,2
must,1,meant,m ɛ n t,1.82,2
pezsg,1,pets,p ɛ t s,1.82,2
phot,1,plot,p l ɑ t,1.82,2
post,1,point,p ɔɪ n t,1.82,2
press,1,pledge,p l ɛ dʒ,1.82,2
prin,1,plan,p l æ n,1.82,2
pson,1,plan,p l æ n,1.82,2
rest,1,left,l ɛ f t,1.82,2
riká,1,six,s ɪ k s,1.82,2
rina,1,hint,h ɪ n t,1.82,2
ring,1,think,θ ɪ ŋ k,1.82,2
seng,1,shelf,ʃ ɛ l f,1.82,2
shel,1,smell,s m ɛ l,1.82,2
skiz,1,skin,s k ɪ n,1.82,2
spon,1,spain,s p eɪ n,1.82,2
spot,1,spot,s p ɑ t,1.82,2
stef,1,stuff,s t ʌ f,1.82,2
stev,1,step,s t ɛ p,1.82,2
stop,1,stop,s t ɑ p,1.82,2
szellő,1,self,s ɛ l f,1.82,2
szenv,1,self,s ɛ l f,1.82,2
szerb,1,self,s ɛ l f,1.82,2
tesó,1,tells,t ɛ l z,1.82,2
tevő,1,tells,t ɛ l z,1.82,2
torl,1,talks,t ɔ k s,1.82,2
torz,1,calls,k ɔ l z,1.82,2
trib,1,twin,t w ɪ n,1.82,2
tsem,1,stem,s t ɛ m,1.82,2
velő,1,self,s ɛ l f,1.82,2
verz,1,tells,t ɛ l z,1.82,2
átok,1,stock,s t ɑ k,1.82,2
ödik,1,click,k l ɪ k,1.82,2
összes,1,flesh,f l ɛ ʃ,1.82,2
abel,1,smell,s m ɛ l,1.82,1
ahol,1,small,s m ɔ l,1.82,1
akut,1,scott,s k ɑ t,1.82,1
alec,1,flesh,f l ɛ ʃ,1.82,1
alig,1,click,k l ɪ k,1.82,1
amelly,1,smell,s m ɛ l,1.82,1
amen,1,smell,s m ɛ l,1.82,1
ames,1,smell,s m ɛ l,1.82,1
amig,1,smith,s m ɪ θ,1.82,1
amily,1,smith,s m ɪ θ,1.82,1
amin,1,skin,s k ɪ n,1.82,1
amir,1,smith,s m ɪ θ,1.82,1
amon,1,small,s m ɔ l,1.82,1
amor,1,small,s m ɔ l,1.82,1
amos,1,small,s m ɔ l,1.82,1
amott,1,small,s m ɔ l,1.82,1
arrol,1,small,s m ɔ l,1.82,1
asszem,1,stem,s t ɛ m,1.82,1
attol,1,small,s m ɔ l,1.82,1
beach,1,belt,b ɛ l t,1.82,1
bean,1,belt,b ɛ l t,1.82,1
bear,1,belt,b ɛ l t,1.82,1
beca,1,belt,b ɛ l t,1.82,1
beck,1,bank,b æ ŋ k,1.82,1
bella,1,belt,b ɛ l t,1.82,1
berly,1,belt,b ɛ l t,1.82,1
bers,1,belt,b ɛ l t,1.82,1
beré,1,belt,b ɛ l t,1.82,1
blikk,1,black,b l æ k,1.82,1
bock,1,bank,b æ ŋ k,1.82,1
boda,1,balls,b ɔ l z,1.82,1
bodza,1,balls,b ɔ l z,1.82,1
bodzsa,1,balls,b ɔ l z,1.82,1
bodó,1,balls,b ɔ l z,1.82,1
boka,1,books,b ʊ k s,1.82,1
bolyh,1,balls,b ɔ l z,1.82,1
bons,1,band,b æ n d,1.82,1
bora,1,balls,b ɔ l z,1.82,1
borg,1,balls,b ɔ l z,1.82,1
borj,1,balls,b ɔ l z,1.82,1
born,1,balls,b ɔ l z,1.82,1
both,1,thoughts,θ ɔ t s,1.82,1
bowl,1,balls,b ɔ l z,1.82,1
brett,1,bless,b l ɛ s,1.82,1
brew,1,bless,b l ɛ s,1.82,1
bron,1,blog,b l ɔ g,1.82,1
bros,1,blog,b l ɔ g,1.82,1
buck,1,bank,b æ ŋ k,1.82,1
buja,1,books,b ʊ k s,1.82,1
burt,1,books,b ʊ k s,1.82,1
butch,1,books,b ʊ k s,1.82,1
ccel,1,smell,s m ɛ l,1.82,1
cept,1,left,l ɛ f t,1.82,1
chel,1,smell,s m ɛ l,1.82,1
chik,1,click,k l ɪ k,1.82,1
cina,1,hint,h ɪ n t,1.82,1
cing,1,think,θ ɪ ŋ k,1.82,1
ciná,1,hint,h ɪ n t,1.82,1
cker,1,sketch,s k ɛ tʃ,1.82,1
clev,1,slave,s l eɪ v,1.82,1
cliff,1,click,k l ɪ k,1.82,1
clus,1,flash,f l æ ʃ,1.82,1
cmos,1,small,s m ɔ l,1.82,1
cnek,1,snake,s n eɪ k,1.82,1
cola,1,called,k ɔ l d,1.82,1
colm,1,called,k ɔ l d,1.82,1
coln,1,called,k ɔ l d,1.82,1
crip,1,slip,s l ɪ p,1.82,1
csing,1,think,θ ɪ ŋ k,1.82,1
csokr,1,talks,t ɔ k s,1.82,1
cstel,1,still,s t ɪ l,1.82,1
csuka,1,looks,l ʊ k s,1.82,1
csuká,1,looks,l ʊ k s,1.82,1
czif,1,cliff,k l ɪ f,1.82,1
dead,1,held,h ɛ l d,1.82,1
deal,1,dealt,d ɛ l t,1.82,1
dean,1,dealt,d ɛ l t,1.82,1
dear,1,dealt,d ɛ l t,1.82,1
defa,1,left,l ɛ f t,1.82,1
della,1,dealt,d ɛ l t,1.82,1
demó,1,dealt,d ɛ l t,1.82,1
derd,1,held,h ɛ l d,1.82,1
derű,1,dealt,d ɛ l t,1.82,1
dettó,1,dealt,d ɛ l t,1.82,1
devú,1,dealt,d ɛ l t,1.82,1
dezső,1,dealt,d ɛ l t,1.82,1
deák,1,dealt,d ɛ l t,1.82,1
dhis,1,twin,t w ɪ n,1.82,1
dhiz,1,twin,t w ɪ n,1.82,1
dkett,1,sketch,s k ɛ tʃ,1.82,1
dless,1,flesh,f l ɛ ʃ,1.82,1
dlet,1,flight,f l aɪ t,1.82,1
dmeg,1,smell,s m ɛ l,1.82,1
dmit,1,smith,s m ɪ θ,1.82,1
dnem,1,stem,s t ɛ m,1.82,1
doma,1,dogs',d ɔ g z,1.82,1
donna,1,dogs',d ɔ g z,1.82,1
dort,1,don't,d oʊ n t,1.82,1
dova,1,dogs',d ɔ g z,1.82,1
down,1,dogs',d ɔ g z,1.82,1
dows,1,dogs',d ɔ g z,1.82,1
doza,1,dogs',d ɔ g z,1.82,1
dwin,1,skin,s k ɪ n,1.82,1
febr,1,felt,f ɛ l t,1.82,1
fects,1,felt,f ɛ l t,1.82,1
fem3,1,felt,f ɛ l t,1.82,1
feng,1,felt,f ɛ l t,1.82,1
fodr,1,fault,f ɔ l t,1.82,1
frigy,1,flip,f l ɪ p,1.82,1
fritz,1,flip,f l ɪ p,1.82,1
from,1,flame,f l eɪ m,1.82,1
funk,1,think,θ ɪ ŋ k,1.82,1
genf,1,self,s ɛ l f,1.82,1
gibbs,1,tips,t ɪ p s,1.82,1
gins,1,hint,h ɪ n t,1.82,1
glec,1,flesh,f l ɛ ʃ,1.82,1
glen,1,plan,p l æ n,1.82,1
glenn,1,flesh,f l ɛ ʃ,1.82,1
gogh,1,talks,t ɔ k s,1.82,1
golf,1,called,k ɔ l d,1.82,1
gret,1,sweat,s w ɛ t,1.82,1
grif,1,cliff,k l ɪ f,1.82,1
gund,1,find,f aɪ n d,1.82,1
gynek,1,snake,s n eɪ k,1.82,1
hear,1,held,h ɛ l d,1.82,1
heat,1,left,l ɛ f t,1.82,1
helló,1,held,h ɛ l d,1.82,1
helyt,1,left,l ɛ f t,1.82,1
herb,1,held,h ɛ l d,1.82,1
hern,1,held,h ɛ l d,1.82,1
hers,1,held,h ɛ l d,1.82,1
hertz,1,held,h ɛ l d,1.82,1
hlen,1,plan,p l æ n,1.82,1
hlet,1,flight,f l aɪ t,1.82,1
hobbs,1,hopes,h oʊ p s,1.82,1
host,1,fault,f ɔ l t,1.82,1
hten,1,step,s t ɛ p,1.82,1
hton,1,stone,s t oʊ n,1.82,1
hvil,1,still,s t ɪ l,1.82,1
jens,1,went,w ɛ n t,1.82,1
jenő,1,went,w ɛ n t,1.82,1
kelé,1,called,k ɔ l d,1.82,1
kern,1,kent,k ɛ n t,1.82,1
ketté,1,kent,k ɛ n t,1.82,1
kező,1,kent,k ɛ n t,1.82,1
khol,1,small,s m ɔ l,1.82,1
kler,1,class,k l æ s,1.82,1
knot,1,cloth,k l ɔ θ,1.82,1
know,1,cloth,k l ɔ θ,1.82,1
kohl,1,called,k ɔ l d,1.82,1
kokó,1,called,k ɔ l d,1.82,1
koma,1,called,k ɔ l d,1.82,1
konyv,1,called,k ɔ l d,1.82,1
korty,1,called,k ɔ l d,1.82,1
kotta,1,called,k ɔ l d,1.82,1
koós,1,called,k ɔ l d,1.82,1
kpot,1,spot,s p ɑ t,1.82,1
kresz,1,class,k l æ s,1.82,1
krim,1,claim,k l eɪ m,1.82,1
krok,1,click,k l ɪ k,1.82,1
krom,1,claim,k l eɪ m,1.82,1
ktisz,1,still,s t ɪ l,1.82,1
ktop,1,stop,s t ɑ p,1.82,1
kviz,1,click,k l ɪ k,1.82,1
leaf,1,left,l ɛ f t,1.82,1
lean,1,left,l ɛ f t,1.82,1
lear,1,left,l ɛ f t,1.82,1
lega,1,left,l ɛ f t,1.82,1
lena,1,left,l ɛ f t,1.82,1
lhel,1,smell,s m ɛ l,1.82,1
lton,1,stone,s t oʊ n,1.82,1
luna,1,looks,l ʊ k s,1.82,1
lung,1,looks,l ʊ k s,1.82,1
lvil,1,still,s t ɪ l,1.82,1
lynet,1,sweat,s w ɛ t,1.82,1
mean,1,meant,m ɛ n t,1.82,1
meddő,1,meant,m ɛ n t,1.82,1
megh,1,makes,m eɪ k s,1.82,1
megj,1,meant,m ɛ n t,1.82,1
merő,1,meant,m ɛ n t,1.82,1
mocsk,1,milk,m ɪ l k,1.82,1
mona,1,mind,m aɪ n d,1.82,1
monk,1,think,θ ɪ ŋ k,1.82,1
mort,1,meant,m ɛ n t,1.82,1
most,1,meant,m ɛ n t,1.82,1
mula,1,miles,m aɪ l z,1.82,1
mult,1,felt,f ɛ l t,1.82,1
mulá,1,miles,m aɪ l z,1.82,1
musk,1,milk,m ɪ l k,1.82,1
nolds,1,called,k ɔ l d,1.82,1
nord,1,called,k ɔ l d,1.82,1
nton,1,stone,s t oʊ n,1.82,1
nyirk,1,think,θ ɪ ŋ k,1.82,1
nylon,1,plan,p l æ n,1.82,1
nyugt,1,looks,l ʊ k s,1.82,1
peak,1,pink,p ɪ ŋ k,1.82,1
peck,1,pink,p ɪ ŋ k,1.82,1
pect,1,left,l ɛ f t,1.82,1
pedó,1,pets,p ɛ t s,1.82,1
peng,1,pink,p ɪ ŋ k,1.82,1
peré,1,pets,p ɛ t s,1.82,1
phogy,1,pledge,p l ɛ dʒ,1.82,1
phon,1,plan,p l æ n,1.82,1
plor,1,place,p l eɪ s,1.82,1
plug,1,place,p l eɪ s,1.82,1
plus,1,place,p l eɪ s,1.82,1
pokl,1,talks,t ɔ k s,1.82,1
pong,1,pink,p ɪ ŋ k,1.82,1
prec,1,pledge,p l ɛ dʒ,1.82,1
pred,1,played,p l eɪ d,1.82,1
pref,1,pledge,p l ɛ dʒ,1.82,1
pressz,1,pledge,p l ɛ dʒ,1.82,1
pretty,1,pledge,p l ɛ dʒ,1.82,1
prez,1,please,p l i z,1.82,1
prim,1,swim,s w ɪ m,1.82,1
prosz,1,place,p l eɪ s,1.82,1
puccs,1,pulled,p ʊ l d,1.82,1
puha,1,pulled,p ʊ l d,1.82,1
puhá,1,pulled,p ʊ l d,1.82,1
puma,1,pulled,p ʊ l d,1.82,1
read,1,held,h ɛ l d,1.82,1
rekt,1,left,l ɛ f t,1.82,1
relm,1,self,s ɛ l f,1.82,1
relé,1,self,s ɛ l f,1.82,1
rena,1,went,w ɛ n t,1.82,1
retk,1,gets,g ɛ t s,1.82,1
rika,1,six,s ɪ k s,1.82,1
rippl,1,tips,t ɪ p s,1.82,1
rita,1,hits,h ɪ t s,1.82,1
road,1,called,k ɔ l d,1.82,1
rola,1,called,k ɔ l d,1.82,1
rolf,1,called,k ɔ l d,1.82,1
rolls,1,called,k ɔ l d,1.82,1
roth,1,thoughts,θ ɔ t s,1.82,1
ruth,1,puts,p ʊ t s,1.82,1
räik,1,click,k l ɪ k,1.82,1
seal,1,shelf,ʃ ɛ l f,1.82,1
sean,1,shelf,ʃ ɛ l f,1.82,1
seat,1,left,l ɛ f t,1.82,1
sebz,1,tells,t ɛ l z,1.82,1
sejk,1,shelf,ʃ ɛ l f,1.82,1
sellő,1,shelf,ʃ ɛ l f,1.82,1
selym,1,shelf,ʃ ɛ l f,1.82,1
senna,1,shelf,ʃ ɛ l f,1.82,1
sera,1,shelf,ʃ ɛ l f,1.82,1
seth,1,gets,g ɛ t s,1.82,1
she's,1,flesh,f l ɛ ʃ,1.82,1
shin,1,skin,s k ɪ n,1.82,1
ship,1,slip,s l ɪ p,1.82,1
sler,1,flesh,f l ɛ ʃ,1.82,1
slow,1,blog,b l ɔ g,1.82,1
spen,1,spain,s p eɪ n,1.82,1
sten,1,step,s t ɛ p,1.82,1
stew,1,step,s t ɛ p,1.82,1
still,1,still,s t ɪ l,1.82,1
stit,1,still,s t ɪ l,1.82,1
ston,1,stone,s t oʊ n,1.82,1
stuff,1,stood,s t ʊ d,1.82,1
stut,1,state,s t eɪ t,1.82,1
szcen,1,step,s t ɛ p,1.82,1
szerk,1,self,s ɛ l f,1.82,1
szern,1,self,s ɛ l f,1.82,1
szerü,1,self,s ɛ l f,1.82,1
szfer,1,step,s t ɛ p,1.82,1
szlog,1,small,s m ɔ l,1.82,1
sznob,1,small,s m ɔ l,1.82,1
sztoj,1,still,s t ɪ l,1.82,1
szvesz,1,space,s p eɪ s,1.82,1
síel,1,smell,s m ɛ l,1.82,1
team,1,tells,t ɛ l z,1.82,1
teljé,1,tells,t ɛ l z,1.82,1
tern,1,tells,t ɛ l z,1.82,1
terra,1,tells,t ɛ l z,1.82,1
tessa,1,tells,t ɛ l z,1.82,1
tetv,1,gets,g ɛ t s,1.82,1
tetű,1,gets,g ɛ t s,1.82,1
teva,1,tells,t ɛ l z,1.82,1
them,1,stem,s t ɛ m,1.82,1
then,1,twin,t w ɪ n,1.82,1
this,1,twin,t w ɪ n,1.82,1
thon,1,twin,t w ɪ n,1.82,1
thun,1,twin,t w ɪ n,1.82,1
tler,1,flesh,f l ɛ ʃ,1.82,1
tlett,1,flesh,f l ɛ ʃ,1.82,1
tmod,1,small,s m ɔ l,1.82,1
toha,1,talks,t ɔ k s,1.82,1
tomb,1,talks,t ɔ k s,1.82,1
tong,1,talks,t ɔ k s,1.82,1
tonna,1,talks,t ɔ k s,1.82,1
toph,1,types,t aɪ p s,1.82,1
town,1,talks,t ɔ k s,1.82,1
trel,1,smell,s m ɛ l,1.82,1
tric,1,twin,t w ɪ n,1.82,1
trig,1,twin,t w ɪ n,1.82,1
tril,1,still,s t ɪ l,1.82,1
trip,1,twin,t w ɪ n,1.82,1
tris,1,twin,t w ɪ n,1.82,1
trisz,1,twice,t w aɪ s,1.82,1
trosz,1,twice,t w aɪ s,1.82,1
tsel,1,smell,s m ɛ l,1.82,1
ttunk,1,think,θ ɪ ŋ k,1.82,1
twil,1,still,s t ɪ l,1.82,1
tyler,1,flesh,f l ɛ ʃ,1.82,1
vest,1,left,l ɛ f t,1.82,1
ban,1,been,b ɪ n,1.84,792
nak,1,neck,n ɛ k,1.84,660
hat,1,hit,h ɪ t,1.84,331
ünk,1,inc,ɪ ŋ k,1.84,211
lát,1,lot,l ɑ t,1.84,182
ból,1,bill,b ɪ l,1.84,180
kép,1,keep,k i p,1.84,178
tat,1,taught,t ɔ t,1.84,178
kap,1,keep,k i p,1.84,177
nál,1,nail,n eɪ l,1.84,167
tal,1,tell,t ɛ l,1.84,162
tan,1,turn,t ɝ n,1.84,151
nap,1,nope,n oʊ p,1.84,150
kal,1,call,k ɔ l,1.84,143
kész,1,case,k eɪ s,1.84,142
szak,1,sick,s ɪ k,1.84,141
ház,1,his,h ɪ z,1.84,139
ből,1,bill,b ɪ l,1.84,132
szín,1,seen,s i n,1.84,128
hal,1,whole,h oʊ l,1.84,124
tak,1,take,t eɪ k,1.84,114
lak,1,like,l aɪ k,1.84,111
néz,1,news,n u z,1.84,103
hasz,1,house,h aʊ s,1.84,95
lap,1,loop,l u p,1.84,88
lép,1,loop,l u p,1.84,88
szab,1,sub,s ʌ b,1.84,81
lan,1,line,l aɪ n,1.84,79
tam,1,time,t aɪ m,1.84,79
tól,1,tell,t ɛ l,1.84,79
től,1,tell,t ɛ l,1.84,78
hív,1,have,h æ v,1.84,75
szám,1,some,s ʌ m,1.84,75
fél,1,feel,f i l,1.84,66
lal,1,lol,l ɔ l,1.84,64
szül,1,sale,s eɪ l,1.84,64
tén,1,turn,t ɝ n,1.84,64
kül,1,call,k ɔ l,1.84,63
mód,1,made,m eɪ d,1.84,63
műv,1,move,m u v,1.84,63
nép,1,nope,n oʊ p,1.84,63
szív,1,save,s eɪ v,1.84,62
sal,1,shall,ʃ æ l,1.84,58
véd,1,void,v ɔɪ d,1.84,56
lat,1,lot,l ɑ t,1.84,54
lét,1,lot,l ɑ t,1.84,54
nél,1,nail,n eɪ l,1.84,53
győz,1,jews,dʒ u z,1.84,52
szék,1,sick,s ɪ k,1.84,52
gyógy,1,judge,dʒ ʌ dʒ,1.84,51
lít,1,lot,l ɑ t,1.84,50
szav,1,save,s eɪ v,1.84,49
bal,1,bill,b ɪ l,1.84,48
dal,1,deal,d i l,1.84,48
szál,1,sale,s eɪ l,1.84,48
hát,1,hit,h ɪ t,1.84,47
ván,1,van,v æ n,1.84,47
tál,1,tell,t ɛ l,1.84,46
két,1,cut,k ʌ t,1.84,44
tám,1,time,t aɪ m,1.84,43
gyak,1,jack,dʒ æ k,1.84,42
hozzá,1,hall,h ɔ l,1.84,42
túl,1,tell,t ɛ l,1.84,41
száz,1,says,s ɛ z,1.84,40
téz,1,ties,t aɪ z,1.84,39
bíz,1,boys,b ɔɪ z,1.84,38
kat,1,cut,k ʌ t,1.84,38
láb,1,lab,l æ b,1.84,38
man,1,man,m æ n,1.84,38
tét,1,taught,t ɔ t,1.84,38
had,1,had,h æ d,1.84,37
húz,1,his,h ɪ z,1.84,37
hét,1,hit,h ɪ t,1.84,36
bűn,1,been,b ɪ n,1.84,35
vész,1,voice,v ɔɪ s,1.84,35
múl,1,male,m eɪ l,1.84,33
dék,1,dick,d ɪ k,1.84,31
mész,1,miss,m ɪ s,1.84,30
fal,1,feel,f i l,1.84,29
nék,1,neck,n ɛ k,1.84,29
vét,1,vote,v oʊ t,1.84,29
semmi,1,shell,ʃ ɛ l,1.84,28
szán,1,seen,s i n,1.84,28
szél,1,sale,s eɪ l,1.84,28
szól,1,sale,s eɪ l,1.84,28
bán,1,been,b ɪ n,1.84,27
jav,1,you've,j u v,1.84,27
mat,1,might,m aɪ t,1.84,27
tap,1,top,t ɑ p,1.84,27
tűn,1,turn,t ɝ n,1.84,27
dél,1,deal,d i l,1.84,26
hál,1,whole,h oʊ l,1.84,26
kéz,1,'cause,k ʌ z,1.84,26
mal,1,male,m eɪ l,1.84,25
vad,1,void,v ɔɪ d,1.84,25
tít,1,taught,t ɔ t,1.84,24
kan,1,can,k æ n,1.84,23
kés,1,cash,k æ ʃ,1.84,23
név,1,nov,n oʊ v,1.84,23
ték,1,take,t eɪ k,1.84,23
zene,1,when,w ɛ n,1.84,23
gyűl,1,jail,dʒ eɪ l,1.84,22
kís,1,cash,k æ ʃ,1.84,22
maz,1,ms,m ɪ z,1.84,22
szép,1,soap,s oʊ p,1.84,22
szük,1,sick,s ɪ k,1.84,22
sék,1,shock,ʃ ɑ k,1.84,22
gyal,1,jail,dʒ eɪ l,1.84,21
mozg,1,laws,l ɔ z,1.84,21
ném,1,name,n eɪ m,1.84,21
lam,1,lamb,l æ m,1.84,19
süt,1,shit,ʃ ɪ t,1.84,19
tűz,1,ties,t aɪ z,1.84,19
kas,1,cash,k æ ʃ,1.84,17
kív,1,cave,k eɪ v,1.84,17
sít,1,shit,ʃ ɪ t,1.84,17
ham,1,him,h ɪ m,1.84,16
kín,1,can,k æ n,1.84,16
mél,1,male,m eɪ l,1.84,16
lál,1,lol,l ɔ l,1.84,15
láz,1,lose,l u z,1.84,15
pat,1,put,p ʊ t,1.84,15
sad,1,should,ʃ ʊ d,1.84,15
táb,1,tube,t u b,1.84,15
bat,1,but,b ʌ t,1.84,14
dan,1,down,d aʊ n,1.84,14
pad,1,paid,p eɪ d,1.84,14
pap,1,pop,p ɑ p,1.84,14
lad,1,lead,l ɛ d,1.84,13
nám,1,name,n eɪ m,1.84,13
pal,1,paul,p ɔ l,1.84,13
san,1,shown,ʃ oʊ n,1.84,13
szün,1,seen,s i n,1.84,13
tán,1,turn,t ɝ n,1.84,13
tíz,1,ties,t aɪ z,1.84,13
vád,1,void,v ɔɪ d,1.84,13
fül,1,feel,f i l,1.84,12
gyüm,1,jim,dʒ ɪ m,1.84,12
mad,1,made,m eɪ d,1.84,12
nan,1,known,n oʊ n,1.84,12
erdő,1,end,ɛ n d,1.84,11
nal,1,nail,n eɪ l,1.84,11
pan,1,pain,p eɪ n,1.84,11
szap,1,soap,s oʊ p,1.84,11
táp,1,top,t ɑ p,1.84,11
tél,1,tell,t ɛ l,1.84,11
van,1,van,v æ n,1.84,11
fasz,1,face,f eɪ s,1.84,10
gyül,1,jail,dʒ eɪ l,1.84,10
híd,1,had,h æ d,1.84,10
kam,1,come,k ʌ m,1.84,10
lab,1,lab,l æ b,1.84,10
lék,1,like,l aɪ k,1.84,10
lél,1,lol,l ɔ l,1.84,10
mász,1,miss,m ɪ s,1.84,10
sük,1,shock,ʃ ɑ k,1.84,10
sül,1,shall,ʃ æ l,1.84,10
ánt,1,ain't,eɪ n t,1.84,10
basz,1,base,b eɪ s,1.84,9
fan,1,fun,f ʌ n,1.84,9
jal,1,you'll,j u l,1.84,9
kaz,1,'cause,k ʌ z,1.84,9
kán,1,can,k æ n,1.84,9
káz,1,'cause,k ʌ z,1.84,9
kód,1,could,k ʊ d,1.84,9
mál,1,male,m eɪ l,1.84,9
mát,1,might,m aɪ t,1.84,9
nat,1,not,n ɑ t,1.84,9
szűn,1,seen,s i n,1.84,9
sák,1,shock,ʃ ɑ k,1.84,9
tab,1,tube,t u b,1.84,9
tóz,1,ties,t aɪ z,1.84,9
áld,1,old,oʊ l d,1.84,9
bak,1,back,b æ k,1.84,8
dam,1,damn,d æ m,1.84,8
hab,1,hub,h ʌ b,1.84,8
kocsi,1,call,k ɔ l,1.84,8
kék,1,kick,k ɪ k,1.84,8
ley,1,let,l ɛ t,1.84,8
mozi,1,laws,l ɔ z,1.84,8
mét,1,might,m aɪ t,1.84,8
pél,1,paul,p ɔ l,1.84,8
szan,1,seen,s i n,1.84,8
